Date,cve_station,cve_parameter,value,unit,nom_estac,longitud,latitud,alt,obs_estac,id_station
17/08/2003,MER,PM2.5,13,2,Merced,-99.119594,19.42461,2245.0,,484090170127
29/08/2003,MER,PM2.5,11,2,Merced,-99.119594,19.42461,2245.0,,484090170127
04/09/2003,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
10/09/2003,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
16/09/2003,MER,PM2.5,12,2,Merced,-99.119594,19.42461,2245.0,,484090170127
22/09/2003,MER,PM2.5,18,2,Merced,-99.119594,19.42461,2245.0,,484090170127
28/09/2003,MER,PM2.5,9,2,Merced,-99.119594,19.42461,2245.0,,484090170127
04/10/2003,MER,PM2.5,10,2,Merced,-99.119594,19.42461,2245.0,,484090170127
10/10/2003,MER,PM2.5,13,2,Merced,-99.119594,19.42461,2245.0,,484090170127
16/10/2003,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
22/10/2003,MER,PM2.5,16,2,Merced,-99.119594,19.42461,2245.0,,484090170127
28/10/2003,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
03/11/2003,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
09/11/2003,MER,PM2.5,7,2,Merced,-99.119594,19.42461,2245.0,,484090170127
15/11/2003,MER,PM2.5,31,2,Merced,-99.119594,19.42461,2245.0,,484090170127
21/11/2003,MER,PM2.5,31,2,Merced,-99.119594,19.42461,2245.0,,484090170127
27/11/2003,MER,PM2.5,39,2,Merced,-99.119594,19.42461,2245.0,,484090170127
03/12/2003,MER,PM2.5,27,2,Merced,-99.119594,19.42461,2245.0,,484090170127
15/12/2003,MER,PM2.5,33,2,Merced,-99.119594,19.42461,2245.0,,484090170127
21/12/2003,MER,PM2.5,59,2,Merced,-99.119594,19.42461,2245.0,,484090170127
27/12/2003,MER,PM2.5,51,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/01/2004,MER,PM2.5,51,2,Merced,-99.119594,19.42461,2245.0,,484090170127
